,SID31004,SID31009,SID31021,SID31071,SID31112,SID31129,SID31159,SID31160,SID31188,SID31219,SID31223,SID31236,SID31237,SID31267,SID31276,SID31285,SID31300,SID31328,SID31333,SID31343,SID31360,SID31367,SID31379,SID31416,SID31428,SID31446,SID31450,SID31452,SID31489,SID31493,SID31512,SID31519,SID31537,SID31549,SID31557,SID31637,SID31685,SID31700,SID31711,SID31714,SID31723,SID31749,SID31750,SID31766,SID31865,SID31866,SID31868,SID31870,SID31871,SID31872,SID31873,SID31874,SID31875,SID31876,SID31877,SID31878,SID31879,SID31880,SID31881,SID31883,SID31884,SID530050,SID530052,SID530055,SID530074,SID530075,SID530119,SID530154,SID530163,SID530167,SID530177,SID530215,SID530227,SID530251,SID530258,SID530295,SID530315,SID530331,SID530364,SID530368,SID530373,SID530394,SID530444,SID530451,SID530890,SID531128,SID531155,SID531248,SID531274,SID531277,SID531281,SID531333,SID531352,SID531361,SID531382,SID531414,SID531416,SID531424,SID531469,SID531766,SID531775,SID532749,SID532779,SID532796,SID532802,SID532826,SID532915
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans,1464226,3486739,469936,4565276,0,736423,119391,2896203,2705152,1045040,184707,2018014,550735,1938918,178176,819069,489638,1441515,3320957,164537,2609927,327204,2007071,0,2318169,274075,0,510185,546046,676582,1989214,1487860,190440,592843,0,1344021,70859,2413034,69,850894,386032,3279001,1488261,4688806,592285,315409,315510,0,1965175,561652,214057,356796,1627263,240018,1778179,1304914,308872,1142146,616790,1219880,43146,321271,0,1866656,2404922,1371159,6046,0,1809598,447594,3165447,1451811,65411,0,4120366,326955,2135923,2246484,2329112,2213371,794820,876897,859623,320067,1867332,136579,970380,109963,21717,1383030,735122,978432,38464,126308,53528,996412,1312408,4072,1406041,397090,1807641,936448,450536,704788,302608,728690,339715
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,1103973,2254546,1302948,574132,0,541789,623,2047136,1443895,1299860,1711,0,315451,516769,257633,696662,712282,1003056,713150,48242,1201257,54020,2006503,434459,578903,695738,0,424206,837950,141153,1658983,1196112,880374,208994,0,292297,21512,1289172,0,1416929,385583,2161465,2451535,718022,1424,418313,195197,2032,3922486,334319,435105,244302,425892,694652,534355,533794,244570,783603,59416,1445613,693277,70797,451739,1252724,396759,591872,786544,0,0,31460,232532,75630,22009,0,1720892,347246,127342,608308,7160,691483,0,1462598,667435,1373196,2269387,150802,4583,192926,24644,773953,0,0,2517499,146606,17983,338970,48916,31533,180627,208877,139989,2623110,324076,743120,752936,0,645568
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques,1022454,644249,1993786,2657206,0,380890,520677,32776,210410,581054,107189,701206,201412,537563,699790,370555,150762,1330191,700162,117975,841756,91925,139142,0,1574307,10552662,0,91103,2428038,6298625,453588,2743663,25941,4404132,2247952,0,993739,1078586,0,331290,1308780,1120109,1017902,728177,2833225,1411966,1004816,7835,210133,5397,765034,158662,253499,243730,14350,804092,582833,463337,2059089,54102,210215,95744,0,0,1550129,375734,1396616,0,676334,0,0,799058,865,0,668427,9247,64595,186176,553814,1516170,295,632577,2236320,151372,3098062,279636,4277627,177614,4905,1716917,3789123,4521,278778,769876,0,507928,288221,54089,217298,1372426,5612541,2265559,110759,108912,134492,0,984003
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii,955590,1964061,1818957,1761412,0,1674406,180284,3411416,2308086,310359,71015,237,6857420,718986,2307016,221306,888556,1042814,1263143,679959,2859810,289325,4448718,6730502,201198,152845,65515,1362083,862415,1823471,2672370,1570820,4498411,6533982,1675173,2576070,442757,782063,2811,1781015,113297,2683348,2149771,1457173,2497418,1672937,524653,3460309,4413920,5153012,405393,191844,1694220,388317,510768,571479,689435,1129942,1332126,7104,164230,534312,213554,163801,2439607,694229,1205665,1064157,5662639,3719643,4682793,2192718,279717,0,536142,733424,1559925,304955,1169318,1243216,825637,342653,4982442,158723,1629507,363651,1664549,176485,4429,373042,645500,5684919,46682,72184,2988,440660,1734325,8509,515938,183904,62592,4050461,94280,727190,120248,917688,963670
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis,918581,0,0,0,0,0,1525,26849,728960,0,11246,0,0,2223841,574,0,0,0,207890,0,982456,0,28545,0,0,2711859,0,46127,0,596484,9957,0,0,2406,0,0,0,1666162,0,0,0,0,4636983,0,1381,421,10320,0,0,0,1994134,9142,2839378,0,0,29180,72675,0,133589,514743,0,0,0,0,0,49493,0,0,145435,0,0,125576,0,0,0,43264,0,479200,0,0,1821845,0,307180,260940,28983,127082,0,22595,5833,0,0,0,0,5425,642,0,0,0,941,0,0,0,0,0,221248,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,865650,2865046,0,81004,27523,757,20776,284282,1430155,584060,126753,109843,1156,51698,50240,5672212,935757,900448,105902,814858,4172724,191866,1380514,38521,0,2259,1084302,378121,276753,65596,35844,441605,62067,302309,25818,7789,298782,139139,0,237,100545,533278,821565,277072,94820,1445793,637489,512,46857,775857,570787,5812807,931609,2866832,6473849,2361546,684468,4337208,614005,497721,469234,3936278,24652,814006,49108,940692,29530,0,216250,884178,253703,26634,0,0,522703,741452,73355,678670,813996,376527,0,5485558,0,324802,750178,962278,291429,591538,28296,1821931,139355,396373,2784249,369918,7728447,591266,2070482,2490824,453720,7436955,15716,692383,2474972,1288268,711928,56695,4294117
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae,847266,103598,483584,95850,0,752888,28315,379449,18367,344226,55774,60511,709376,90149,416812,38211,93800,146340,371667,9233,814074,3704492,430691,462222,2166569,368955,261698,8537,53997,433398,1777050,152702,449,276052,2464252,3738772,0,79921,24267654,4285123,101892,69888,185899,79130,6265074,71578,862634,91648,880149,1668019,24351,7602,664950,66722,181023,66902,76322,9995,55920,1524158,36348,317576,467726,129458,260823,114140,63733,6048742,11425841,124763,136404,59483,5192939,1142632,237273,1009,285100,351899,1495933,565789,196353,30680,4149184,506807,109406,35116,661306,44196,11303,56295,316246,1097825,1887317,92178,28654,379114,1353269,5468,866963,2003,1018977,986347,43028,77458,61590,2419787,26091
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_formicilis,831635,152908,949149,505019,0,69868,3222,500662,13415,741377,158016,26860,255286,506160,296227,429260,237817,205069,97596,0,251126,136595,2580,0,8769,554727,0,198075,85023,132295,261449,159404,0,519202,0,283,1084,142576,0,67646,42443,819469,153806,476508,504725,428095,178549,0,482015,1402602,58735,252003,616714,133456,370056,218757,213847,145175,311512,240470,88100,170109,0,78605,0,264988,338462,0,7280,1710309,0,33597,0,0,376632,259838,42146,408101,194901,6099,40152,114908,1947978,449003,45409,124320,659954,92894,5086,137420,847736,3083,0,38144,47232,504362,359716,0,2008,59588,226,0,47417,2131935,292292,230,282667
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans,793587,489681,396059,549593,0,502004,358484,427441,89193,186845,75817,0,1328943,236158,424277,92094,269857,775921,435319,107225,649195,203814,1081996,1107987,244919,501704,59936,272617,526853,1460005,1403809,365550,0,1032514,0,0,498935,229997,0,441433,590932,143768,271540,336322,1251964,185240,92775,586799,601773,0,545970,129301,751037,0,42857,240710,227768,63338,392278,208247,109072,224857,484921,142193,172815,549832,365017,0,783678,0,505284,241925,15967,0,517037,231979,430319,272057,444941,385012,235341,77036,685759,248803,315974,260160,1542347,104899,5976,835975,727645,483931,2403,37934,0,44955,367495,100190,265155,165337,309320,0,149585,108184,91419,1487445,439029
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,773363,49654,29082,155940,33506,11350,72626,25543,1470,30388,0,0,1545,19181,5552,3186,55261,666344,2370,773358,9154,313335,378117,38313,10905,653004,0,47084,3148,79930,2054,88756,259868,5357,1312909,42995,1501,165450,147327,37753,20164,26648,19580,17483,36032,62944,71467,216693,4044,37910,0,6444,1195,430194,5770,3074,1074,1395598,25890,89566,0,1579184,8850,161,38483,41636,107674,316675,524064,61872,40793,10793,0,32525,115833,11469,33930,12170,5111,140383,60945,8684,30638,76696,142140,121962,38007,135834,55265,2721,146686,15761,7184,4428,21688,10967,27473,71282,9056,2620,21199,22433,0,53734,12353,37350,1826
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus,766607,0,0,0,0,0,2674,212773,7146,1534143,0,0,0,0,1057266,2216812,0,373080,0,0,0,0,0,0,0,0,0,7027734,572198,0,0,0,0,0,0,1744,1570235,81939,122,0,6424,85,7017499,0,0,0,0,3623,0,0,0,0,4164577,0,0,10715,0,9026,0,32003,393359,0,0,383625,0,286479,7550,0,0,0,0,1289741,0,0,0,0,0,3013,0,0,0,976249,0,952097,271262,0,0,2235524,430,0,0,0,0,0,0,0,0,0,0,3143,0,0,0,0,19757,0,1619216
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris,582912,670421,195,1541579,0,0,0,0,0,290114,29416,142104,0,116892,165842,1194226,160873,1095101,48778,0,24889,56631,0,2837,129635,659381,184706,0,56687,51345,388842,0,0,39110,0,0,0,0,0,0,1327,16403,730799,544801,57356,26744,603474,0,0,1063748,0,201726,0,215507,1062134,0,275130,0,149322,5885,0,30631,0,136027,15437,23011,0,2279036,0,0,906380,4145,10349,0,830319,453592,1684,718966,956514,75362,0,631372,0,74243,1158080,0,974952,0,0,0,575445,956604,0,1212731,0,451797,9939,0,1011730,0,881,716480,715548,92697,28074,840825,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus,438254,1347274,409330,387248,0,383114,0,1042,366512,326622,408724,691900,728876,1637415,717258,1061291,257519,579803,12464,4380,237344,11412,389034,0,268520,214586,0,282358,799256,185343,302313,717796,0,438644,11896,0,1081839,278657,0,62878,103093,0,670235,372456,0,275750,15003,697,130382,0,368406,108176,295649,97281,718,211378,387386,127086,648961,11821,557797,123823,0,372133,0,187736,1773651,856824,0,418141,12718,262180,0,0,807212,65764,372382,0,0,314713,191447,79660,2709,592416,537473,0,0,128208,0,52002,565533,165452,22398,0,0,208652,3789,8665,0,134581,0,0,40196,169667,58558,75789,195079
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,429244,702688,817523,949479,0,34298,0,60120,0,29107,13806,267246,181085,0,0,508696,122789,8072,53199,0,0,0,40837,0,362121,0,0,217927,97040,0,92431,408441,88462,33430,44,181,37585,217807,0,5461,6827,17875,25695,364287,474331,21619,6374,0,64496,0,17814,909718,184437,39336,353907,156615,1477,2601,201251,14892,9467,883197,0,990501,56454,630510,620,4368763,314,520807,0,8580,16950,2295741,0,1656,0,362834,147505,104165,114941,70070,241668,39640,1607021,0,388652,87190,0,717023,1848495,0,110476,0,32109,995293,7146,0,808864,0,0,0,104809,608618,704715,338183,53885
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans,335497,310978,381348,410670,1460438,628,8844,106120,72071,416006,4931,93540,536424,178951,10748,274921,57973,168442,601101,10072,681279,6127,1032449,0,184531,507502,23961,55831,33432,32711,9787,8888,0,68165,0,1806,108230,1098742,0,219,13145,520922,403107,167189,33270,64533,40868,0,14174,21358,374875,899042,602506,31285,98749,484556,3842,1242073,724530,2061126,1202,385414,6267,113989,17475,272767,47455,2144,18544,65005,29778,44159,0,2688,83444,60208,4991,1083008,557772,24439,5889,177014,280718,78991,621664,289936,312202,60057,24259,702403,615441,82703,51921,50130,0,133396,104365,0,1721645,1482061,0,31880,7237,27360,2144388,94293,27185
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens,299584,0,0,398754,43821,0,0,1280154,136276,0,640351,0,0,71600,0,0,695818,0,0,0,0,0,0,0,0,0,0,0,0,53247,0,0,0,0,0,3603,33235,0,0,0,0,0,99523,0,3241,10918,0,0,0,0,0,809040,0,0,0,0,0,0,0,0,0,0,0,0,0,8082,0,0,0,1254,35220,25113,0,0,61513,2818608,0,0,0,0,0,0,0,2876382,583467,0,0,0,0,0,24054,0,0,0,650353,0,0,0,912484,0,0,956219,0,0,63735,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale,296476,207493,5265159,242138,315,1425793,1755407,0,462799,386689,52741,1892,6043,2208,530574,8178,0,3587071,6494776,19732,4381009,94472,1603134,6090,2185286,358525,0,627268,182805,579295,5170542,3501679,35632,75837,427,7529242,19652,186333,5441,122570,58117,0,180791,121319,8883,1087744,1098161,2085,1929430,5087,439266,3083271,6336,214775,1095339,7159,34296,76300,221348,30761,5672,2746676,905767,5592939,2145,855427,101950,0,18143,224901,0,678681,6438,4866715,12175,2178487,435375,5602739,5262959,982630,1861174,7185844,134508,66936,1437191,1249228,475952,1160140,28704,5050701,2496891,3316671,605866,693594,156982,0,3915321,5832,424383,78363,1607923,0,2200899,2328001,5250865,3639825,27294
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum,274092,788271,895746,518098,4786043,459364,6095,442138,111346,142331,168618,106022,991680,596750,1288614,1114789,162340,337539,107992,135429,220307,138701,1715144,13203,1000570,328326,368416,137241,351555,749417,1541871,349732,410629,1699253,894409,305,178691,399125,0,294467,46460,1556437,240187,571962,6792,430781,182047,639591,393866,191597,846876,52970,356605,516415,682167,536433,324571,117209,1004156,22819,334000,115665,440103,296284,848006,249352,1638422,155933,0,1454573,8389006,147002,0,182837,3023862,594578,1498686,49689,276017,330219,24472,166745,2790973,279913,510073,946762,1085438,133259,13507,155163,838214,4149010,915305,27428,1982,366912,784562,0,271130,221541,0,1874410,28406,545819,319880,65192,495861
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens,249255,71033,442636,87668,0,205438,84751,565505,115021,304679,13629,1053104,368008,690004,191510,101761,320483,722889,252482,248114,1156586,18905,923675,5376815,89126,419539,0,1269701,8670,1307888,1180971,313415,272248,331437,24036,53562,43292,4259301,722691,435327,61543,1480988,94238,875383,193457,52409,111684,0,231776,300826,19787,123534,275068,157088,90119,227507,23502,21138,8503,1667202,5762,25165,417020,576425,240346,704056,466903,0,0,0,585941,187213,0,89735,618645,45858,509407,339844,795188,0,210237,644677,39249,851749,767112,559635,1415928,188399,30311,772095,313267,11402,181901,62875,81951,203051,823966,0,450136,80762,674043,1125479,38015,151896,474333,645467,77196
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,243811,59914,0,0,94418,0,542,0,55289,0,30993,122692,443,55269,13776,0,141340,21476,0,0,53039,17596,111644,0,66,35829,164345,188006,7172,16325,0,135712,14100,16479,4507,0,0,5196,0,0,13271,0,11490,15410,10470,59964,193990,15391,4163,181118,10715,732475,0,185369,669628,13019,1342,126341,161214,1240121,13682,32439,0,102032,0,93659,42638,0,0,182051,307,0,0,0,41367,5253,0,44990,16529,0,156853,559803,0,0,224795,125687,73333,21015,9221,42188,86451,0,0,268675,125340,0,326446,338238,2572,1715,75536,0,92762,26923,25730,31189,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,212324,165,23009,11511,0,0,1283,0,11021,0,15881,0,2241,88765,54316,0,0,73728,44045,399674,49083,28778,33452,18645,108,73459,21878,0,0,6214,11885,16605,7108,69561,0,1678,6329,26885,0,0,0,2768,11829,0,16457,2418,60961,40744,2200,185828,2706,209494,100235,357658,843958,165403,6991,3454846,26486,3054451,17221,220652,768,54767,2784,114760,22921,0,20392,0,2166,7034,63037,2673,23449,44698,0,619584,99571,1647,49053,0,0,12105,201671,14603,30381,62777,39396,31358,2044,129149,0,0,1804512,555868,242424,5430,1173571,694388,2134,91275,16704,240999,954,792,486971
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,201073,552464,16431,4010,19740,0,4194,3000,56618,106232,54198,59549,6540,24489,29844,0,44004,225205,6659,188282,362644,23181,33307,2540,0,2030870,182496,49170,0,22719,16338,27363,0,5658,5340,0,117253,0,0,0,62174,3419,0,0,11398,0,57218,0,0,23296,46127,690,152,333077,0,177725,705,2006668,343676,130524,628870,45731,0,86871,0,35561,13648,16211,0,0,36582,5783,824903,0,34207,0,0,327573,0,0,0,0,0,4485,78580,108381,12524,107443,2166,2287,3826,36187,0,23709,237512,98508,151311,1875130,393,4050200,0,58412,754227,262206,145049,13629,83227
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus,185012,5217042,636815,17584,109242,1378504,99405,27995,0,142770,18378,23638,1491,107180,0,4730,722621,236294,98616,1007,141626,66785,2510133,0,758,499697,0,99391,1513,1409,1570,274508,456185,0,1225259,0,0,77703,3536,1978,574108,70411,84067,551712,379452,519072,925096,42657,1324,4558,0,0,79763,46017,1502,0,0,173508,95937,0,0,953,560797,182353,0,20462,80011,1206677,66982,500157,1026699,567,0,1625004,21352,0,64792,119015,0,102463,459820,105085,0,9960,0,1262,4931680,3996,0,0,82257,0,54427,16369,31628,7215,2122,0,984658,0,5670,226617,750025,44287,336078,0,97261
