"","ERR479322","ERR479324","ERR479392","ERR479150","ERR479158","ERR479268","ERR478996","ERR479052","ERR479404","ERR479321","ERR479205","ERR479195","ERR479325","ERR479393","ERR478974","ERR479082","ERR479102","ERR479326","ERR478992","ERR479034","ERR479033","ERR479381","ERR479288","ERR479064","ERR479408","ERR479265","ERR479129","ERR479203","ERR479130","ERR479413","ERR479287","ERR479297","ERR478964","ERR479206","ERR479204","ERR478975","ERR479323","ERR479414","ERR479091","ERR479379","ERR478960","ERR478997","ERR478990","ERR479263","ERR479109","ERR479017","ERR479394","ERR479272","ERR479159","ERR479003","ERR479016","ERR479045","ERR478959","ERR479289","ERR479264","ERR478962","ERR479341","ERR479267","ERR479134","ERR479157","ERR479000","ERR479401","ERR479110","ERR479274","ERR479378","ERR479275","ERR479063","ERR479197","ERR479099","ERR479043","ERR479286","ERR479296","ERR479198","ERR479342","ERR479294","ERR479131","ERR479135","ERR479196","ERR479133","ERR479081","ERR479014","ERR479079","ERR479015","ERR479035","ERR478995","ERR479167","ERR478965","ERR479271","ERR478966","ERR479269","ERR479403","ERR479152","ERR479036","ERR479080","ERR479168","ERR479108","ERR479339","ERR478991","ERR479391","ERR479047","ERR479320","ERR478961","ERR478958","ERR479107","ERR479048","ERR479092","ERR479319","ERR479041","ERR479001","ERR479160","ERR479046","ERR478963","ERR479101","ERR479405","ERR479340","ERR479402","ERR479380","ERR479407","ERR479050","ERR479270","ERR479295","ERR479002","ERR479273","ERR479132","ERR479042","ERR479153","ERR479128","ERR479051","ERR478967","ERR479406","ERR479100","ERR479266","ERR478993","ERR479049","ERR479044","ERR479038","ERR479147","ERR479310","ERR479277","ERR479055","ERR479308","ERR479309","ERR479010","ERR479223","ERR479178","ERR479148","ERR479318","ERR479221","ERR479357","ERR479243","ERR479278","ERR479026","ERR479127","ERR479083","ERR479246","ERR479253","ERR479194","ERR479077","ERR479139","ERR479276","ERR479066","ERR479255","ERR479247","ERR479390","ERR479285","ERR479028","ERR479219","ERR479252","ERR479417","ERR479302","ERR479356","ERR479138","ERR479311","ERR479358","ERR479222","ERR479113","ERR479256","ERR479354","ERR479193","ERR478985","ERR479416","ERR479199","ERR479149","ERR479053","ERR479054","ERR479292","ERR479332","ERR479359","ERR479032","ERR479258","ERR479348","ERR479031","ERR479125","ERR479361","ERR479237","ERR479331","ERR479351","ERR479284","ERR479025","ERR479334","ERR479112","ERR479180","ERR479303","ERR479116","ERR479065","ERR479024","ERR479353","ERR479126","ERR479177","ERR479254","ERR479352","ERR479111","ERR479200","ERR479173","ERR479245","ERR478969","ERR479030","ERR479360","ERR479291","ERR479220","ERR479333","ERR479349","ERR479174","ERR479248","ERR479415","ERR479037","ERR479146","ERR479236","ERR479389","ERR479418","ERR479114","ERR478984","ERR479317","ERR479078","ERR479029","ERR479124","ERR479244","ERR479176","ERR479011","ERR479027","ERR479350","ERR479257","ERR479179","ERR479117","ERR479355","ERR479279","ERR479290","ERR479251","ERR479293","ERR479056","ERR479084","ERR479316","ERR479224","ERR479115","ERR479235"
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum",0,0,0,0,0,0,0,0,0,0,0,193870,0,0,204992,1510,0,0,0,0,0,38792,51090,0,0,0,0,0,0,210,0,0,0,0,0,187868,0,0,88,0,694457.999999999,0,0,0,0,0,0,17050,0,0,0,0,712220,0,85661.9999999999,0,20978,0,0,0,0,0,0,0,0,0,0,189596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,0,0,0,0,80794.0000000001,0,0,1576,380,0,0,39234,0,0,0,0,0,0,0,0,0,0,50928,0,0,0,0,0,1832,0,0,0,0,0,0,0,0,0,0,714798,0,0,0,0,0,0,38016,0,0,0,0,0,0,0,0,0,0,67676,0,0,0,47658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28056,0,0,0,0,0,0,0,0,0,0,0,0,43310,0,0,29968,0,0,0,0,0,0,0,0,36644,0,0,2706,0,0,0,0,0,23712,0,0,0,0,0,0,0,0,23320,0,0,0,0,0,0,0,0,0,0,0,32950,0,0,0,0,0,0,54708.0000000001,0,0,0,0,104498,0,0,0,0,210,0,0,0,0,0,2398,7094
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis",0,297676,0,0,0,2826,0,425154,0,302044,0,0,0,16154,0,0,0,0,215380,0,0,0,0,270064,0,0,0,0,0,0,0,0,0,394292,0,0,0,15168,70506,0,0,0,0,0,158720,109168,0,0,0,198822,112906,24998,655132,0,382372,0,0,0,0,0,0,0,0,0,0,5116,0,0,0,0,0,25434,0,0,24466,0,0,0,0,9760,0,0,0,94781.9999999999,0,0,0,0,0,25556,3876,0,91520.0000000001,8540,13052,0,0,0,0,0,0,661920,0,170198,0,58958,52868,0,0,0,0,51274,0,0,0,3234,0,11920,422648,697992,26546,0,0,0,0,0,8448,0,0,0,139668,380142,0,423508,0,0,761555.999999999,2798,0,0,3972,0,353512,0,0,0,0,0,0,0,1210,0,0,1840684,0,0,0,0,0,0,11288,0,1308,0,0,0,0,0,0,0,0,0,0,186144,0,45010,0,0,0,13688,318802,0,0,11300,0,92625.9999999999,0,251950,0,0,0,0,0,0,0,227902,2390,0,0,245330,0,0,0,0,11908,0,0,0,118490,0,4140,0,0,54618,0,0,0,273162,0,0,0,0,0,1396,0,0,654966,0,0,0,60435.9999999999,0,0,0,0,0,12036,0,0,0,0,0,0,0,15934,1378,95529.9999999999,5940,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis",0,0,0,0,1770,0,0,0,0,0,14182,12694,0,0,0,0,46272,0,0,0,0,0,0,0,5852,1836,0,0,0,0,0,0,0,0,13626,0,0,0,0,0,0,0,0,0,0,1454,0,0,0,0,0,116970,0,0,0,0,0,0,0,0,0,0,0,3272,0,0,0,0,0,0,3910,0,0,452,0,0,0,0,0,0,0,0,1012,0,0,0,0,9530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120322,0,0,0,0,0,0,0,0,0,0,11280,92,0,0,0,0,0,0,0,0,0,0,1920,0,4662,0,254,45408,2146,0,0,1120,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8282,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0,0,314682,0,0,0,0,0,0,0,0,0,0,51134,0,9572,0,0,0,0,0,0,0,0,28156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3664,0,2488,0,130424,0,0,0,0,0,884,0,0,0,1130,0,0,0,0,0,0,0,0,3566,0,0,0,0,0,29396,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius",0,0,628,0,0,0,2648,11568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20576,0,0,0,49412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5232,110,0,0,0,0,0,23482,588,0,844,82425.9999999999,0,0,0,0,8622,4346,0,0,0,0,0,0,0,1818,0,0,24538,26012,2538,0,0,6162,0,0,0,0,26862,0,0,0,0,0,0,961255.999999999,0,0,0,0,987955.999999999,0,0,0,10258,0,0,0,190260,18792,942,0,0,16330,0,0,0,10190,0,0,3724,0,0,0,0,0,928,0,111620,0,0,0,0,0,0,373314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9092,0,0,3066,0,0,0,0,194228,0,0,0,0,0,0,0,0,0,0,9432,0,0,0,222,0,0,5100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67858,23102,0,0,0,0,0,2440,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus",93680,87184.0000000001,0,0,0,9940,0,0,0,0,0,0,0,0,65032,0,0,0,0,0,0,0,0,0,0,0,0,100178,0,0,0,0,0,116678,0,51168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8152,0,105800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8960,0,0,0,0,444900,0,0,8514,0,0,0,0,39010,17422,0,33378,0,0,0,0,0,0,0,0,0,0,0,0,1998,0,0,6760,0,0,9696,0,0,0,120238,0,0,0,0,0,0,0,0,0,0,18876,0,0,0,0,0,0,0,0,0,0,15644,0,0,0,0,0,0,0,0,22338,0,0,0,0,84964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103100,38970,0,0,6740,0,0,0,0,0,0,0,0,7182,0,121770,0,234,0,0,0,47574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74666,0,52524,0,0,0,0,0,22136,0,0,0,0,960,0,0,0,0,0,0,48374,0,0,0,0,0,0,45736,0,0,0,0,0,0,0,8860,0,0,256,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter|s__Lawsonibacter_asaccharolyticus",0,0,0,0,0,0,0,12520,0,0,0,0,17204,0,0,0,0,0,6580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5186,0,0,0,0,0,0,0,0,0,2308,0,0,0,4394,0,0,0,0,0,0,0,0,0,0,0,0,0,42292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,0,0,0,64,0,8586,0,0,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518,1622,0,0,0,0,0,0,0,0,11436,7686,5696,0,0,0,0,31628,0,0,0,0,0,0,0,0,0,31130,0,99474.0000000001,0,0,0,0,10690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5218,0,0,0,0,0,0,0,7420,5972,0,0,0,0,62706,0,0,0,0,0,10210,0,60938,7366,0,49196,0,0,0,0,0,0,62,0,137442,0,0,0,4792,0,0,17578,0,0,0,1054,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,0,0,0,0,0,0,0,0,0,0,26716,0,0,0,17202,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter|s__Candidatus_Cibionibacter_quicibialis",0,322304,0,224366,0,0,0,0,0,319774,0,512932,0,37498,0,40948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12296,0,0,0,0,0,29184,0,0,0,0,0,0,0,0,486736,0,0,0,53456,486480,52624,41046,0,0,183148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688657.999999999,0,135474,0,6796,0,0,998000,0,0,0,0,0,4082,0,0,0,0,0,0,0,0,0,40978,0,0,0,36766,0,35662,0,0,0,0,0,0,16888,0,0,20936,0,0,0,111410,0,0,0,0,0,0,1552,0,0,0,0,0,0,0,0,64392,0,0,0,168902,0,0,2532,0,0,5180,0,22070,0,0,0,0,0,0,0,0,0,0,28052,0,0,0,0,0,0,0,0,16850,0,121264,0,13618,0,0,173128,0,0,0,0,0,0,0,0,0,0,0,0,96627.9999999999,0,0,0,11968,0,0,0,0,0,8498,0,0,0,0,0,0,0,42458,0,0,6016,0,0,0,0,2219182,0,0,37986,0,0,5360,0,0,0,0,84176,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium",0,0,0,0,0,0,0,0,0,0,106850,187186,0,17910,62496,0,0,0,0,0,0,0,0,299090,0,0,0,0,0,0,0,56946,0,0,0,0,0,86952.0000000001,0,0,0,0,0,0,153362,0,0,0,0,0,0,0,0,0,0,49360,0,11576,0,32762,77216.0000000001,0,147442,0,13450,0,241662,0,0,0,79122,0,0,0,58486,0,0,0,0,0,0,0,0,137482,0,0,0,0,0,0,42646,0,0,0,0,0,0,0,0,38770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43666,118130,57942,0,0,0,147776,0,0,0,180974,0,0,0,0,0,9828,0,0,45388,0,50146.0000000001,0,0,0,0,0,58320.0000000001,363918,0,0,0,0,0,0,0,0,0,144656,0,68928.0000000001,0,0,0,0,0,0,0,0,0,0,0,10416,0,0,0,0,0,0,4054,0,0,0,0,0,0,0,0,0,50766,0,0,34732,0,5412,0,210996,0,17284,0,0,100686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82652,0,0,0,134656,0,0,0,91351.9999999999,0,0,0,0,0,0,0,0,0,100482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47930,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_AF18_31LB",0,9972,0,0,0,0,0,20982,7684,9288,27946,478,51686.0000000001,0,0,0,1098,0,0,0,0,13274,0,98036.0000000001,0,35056,0,0,0,12880,6748,14642,43768,32976,32374,9748,0,0,3728,13982,0,0,13134,31520,13458,16854,7428,25880,0,9138,17448,0,10500,6682,0,1588,0,174,0,0,0,0,11656,0,13618,0,67806,0,5794,0,0,0,374,0,15652,0,0,952,0,2196,18814,1288,20332,10298,0,786,38188,27842,40894,0,6408,24452,7302,1560,0,0,0,13096,0,29124,1310,0,11898,13330,32254,0,1774,15610,7022,0,32076,1546,1028,1112,11360,5738,15556,992,24298,30222,16526,8814,29154,0,22668,0,0,25220,0,808,0,0,12960,22542,0,0,0,0,7654,3834,23358,21982,15390,3272,7168,0,9158,0,0,2200,7810,0,17890,0,4702,22690,13778,237082,1956,8032,9808,9020,0,22598,4506,0,0,0,8376,35990,8334,1268,0,0,0,0,8780,0,0,0,728,8490,0,0,0,0,25026,0,0,0,22188,0,17676,0,2444,0,4832,5276,0,0,0,7150,0,19386,13458,0,0,19796,8492,0,7366,0,0,0,4368,2932,0,0,0,0,25066,0,0,4606,478,0,0,4850,0,9660,0,0,3096,239328,0,21730,0,0,16758,0,70342,8244,6922,0,8358,0,0,0,0,3086,0,0,4568,17862,4286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF34_10BH",0,0,0,0,775294,0,0,326562,0,0,0,0,0,26092,24316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426384,0,482214,0,0,29868,203884,0,3078,0,0,0,0,0,0,0,0,0,0,0,0,147398,17242,0,0,0,0,0,0,0,0,0,2134,0,0,0,0,0,1616,0,0,11022,0,0,0,0,9670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22812,0,0,0,145608,0,0,0,0,0,0,0,0,105600,45544,0,9956,0,0,0,0,337172,0,0,0,0,0,0,0,20658,0,0,0,0,0,0,348550,0,607094.000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6830,62815.9999999999,0,0,69056,0,0,0,0,169800,0,0,0,0,0,0,0,0,0,0,0,0,0,5292,0,0,0,0,0,0,0,0,0,0,0,1604,0,15442,0,0,19972,0,0,0,30050,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,5992,0,150234,12528,33798,0,0,0,0,0,0,126030,125280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27692,0,10444,27264
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM22_11AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254194,0,0,0,0,0,0,0,0,0,0,0,0,39836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49878,0,11010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33758,0,0,0,0,28836,0,21238,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,115080,0,0,0,0,0,0,0,0,36340,0,0,0,12034,0,0,35280,3420,0,0,0,0,0,0,0,0,35812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5740,0,0,0,0,7966,0,0,0,0,0,0,30480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20024,0,0,7036,0,0,0,0,0,0,0,1388186,0,19196,0,0,206056,0,0,0,0,0,0,112026,0,0,127080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified|s__Clostridiales_Family_XIII_bacterium_BX16",18994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114190,0,0,0,0,5360,0,0,0,0,0,0,0,0,8252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,4952,0,0,18914,0,0,25614,0,0,6854,0,0,0,0,0,6220,0,0,0,0,0,0,0,0,45004,0,0,0,2156,0,0,0,0,0,0,0,0,1752,0,0,0,0,47886,0,0,0,0,41654,712,0,0,0,0,0,0,117308,0,0,0,0,0,41558,0,0,18528,0,0,0,0,0,0,38338,0,0,0,0,39948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9656.00000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1754,0,25110,0,0,8376,9024,0,0,0,12870,0,0,5228,4500,0,12374,0,0,0,0,0,0,0,0,0,0,0,0,0,9258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6198,0,3952,0,0,0,0,0,2772,0,0,0,0,0,0,0,43480,0,26894
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified|s__Clostridiales_bacterium_KLE1615",88240,0,0,0,0,0,0,0,0,0,0,0,334304,0,0,0,0,0,0,0,0,0,0,0,12060,0,0,0,0,6926,0,90692,0,0,0,32306,0,0,0,0,22866,0,0,0,36802,0,81950.0000000001,0,0,0,0,0,0,38904,0,0,0,0,0,0,0,0,0,0,0,0,0,28238,0,0,0,0,27404,13934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55732,0,0,0,0,0,0,0,0,0,0,0,0,0,9998,0,0,0,0,0,0,10434,0,0,0,0,0,51564,0,0,0,0,0,0,0,141700,0,0,0,0,0,10836,0,0,0,0,0,0,0,0,0,0,0,31356,0,53400,0,0,2234,0,0,40214,0,0,16490,0,0,0,0,0,32204,0,0,0,0,0,0,0,227692,0,0,0,0,0,0,0,0,151966,0,0,0,0,0,0,0,0,0,0,31730,35508,0,0,0,52036,0,0,0,0,0,0,0,0,0,0,0,0,38718,36402,154164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79282.0000000001,0,0,0,0,0,59098.0000000001,0,0,0,0,0,0,0,34960,0,0,0,0,0,23244,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger|s__Gemmiger_formicilis",0,0,0,0,0,0,0,0,0,32816,19304,0,0,0,0,0,0,0,0,0,0,43900,49380,66410,33104,126258,0,0,17278,0,0,0,104178,16180,0,0,35128,0,0,0,19914,0,15064,128936,0,88242.0000000001,0,0,0,0,0,0,22004,50254,0,0,1664,27920,22688,0,77436,0,0,0,47774,0,0,152878,0,57694,0,0,0,0,49244,15542,22616,0,0,56214,93950.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,56490,0,0,0,0,0,12304,0,22364,21136,7116,0,0,0,161562,75704,0,0,0,0,0,0,0,0,32104,0,0,0,0,0,22648,238956,0,0,0,0,0,6128,0,17030,0,0,190,0,0,0,0,47598,0,0,0,0,0,0,31458,0,0,0,0,0,0,117886,0,0,0,50006,0,0,10740,0,0,0,0,30146,0,0,698173.999999999,0,0,54042,0,0,120,0,0,15448,0,0,0,437384,0,0,0,28174,0,0,11390,0,0,10228,0,0,0,3862,63742,0,0,0,0,725680,0,0,0,0,11622,0,0,6586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,0,0,133896,0,0,0,0,65846,0,0,0,57910,0,0,0,0,0,0,0,0,33252,0,0,536,0,229766,6796,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_hallii",639628,0,0,0,0,0,0,0,0,0,0,367108,722671.999999999,0,0,0,4035774,0,0,0,0,0,0,0,0,0,0,557142,0,0,0,0,0,538064,542540,0,0,27320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96536,0,0,0,5536,0,0,0,18474,113944,0,0,0,0,0,0,0,0,0,0,0,1381526,0,342376,0,813675.999999999,0,0,309156,0,0,0,0,0,0,0,35160,159602,0,0,0,0,0,0,0,0,0,337190,0,0,0,0,0,0,0,0,0,936,0,0,0,0,118040,0,191260,0,0,0,0,0,0,0,0,197834,0,0,0,0,0,0,0,0,0,0,0,0,170182,176710,91088,0,0,0,0,0,0,0,1632,0,0,0,0,123780,0,9758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5928,0,0,0,0,0,17966,0,0,0,22230,0,0,0,0,0,0,0,0,191128,0,0,0,0,0,0,0,188156,0,3766,0,0,0,0,0,0,0,0,223904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182434,0,0,0,0,28256,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665780.000000001,82472.0000000001,0,0,0,0,0,0,0,0,260336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147042,0,0,0,0,0,0,117494,0,29778,219450,0,0,1002692,0,0,0,117574,0,0,315632,471290,3004,0,121202,0,459796,0,0,2670548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427738,0,0,0,99808,7764,0,0,0,0,0,0,0,7474,0,6892,0,0,0,0,0,0,0,0,0,0,240434,0,328484,0,55272,0,0,0,0,0,2690788,0,0,0,0,0,83926,317050,0,0,0,0,0,0,0,0,0,0,0,0,2108,329312,0,0,0,0,10030,0,0,0,0,342464,0,0,0,0,0,0,10438,0,0,0,0,946970,4466,0,0,0,0,49438,0,0,0,0,0,0,0,0,0,0,0,0,0,97685.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,979644,0,0,0,0,0,334176,0,0,49600,0,0,0,9492,102236,0,0,0,276438,0,60768,0,68650.0000000001,0,0,0,0,0,0,0,0,0,98059.9999999999,9696,0,0,0,0,0,87942.0000000001,0,0,5240,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecis",0,0,0,0,0,13848,0,0,0,0,174740,113610,0,0,28110,0,430734,0,0,167492,0,0,0,0,50334,0,0,0,0,11298,0,39242,0,175176,179490,0,134862,0,0,10340,0,0,0,0,0,0,0,0,0,0,0,0,0,228194,0,0,0,0,0,0,0,0,0,0,12144,0,0,110026,0,0,0,0,0,0,0,66804,0,112652,0,0,188240,0,0,0,103878,0,0,0,0,0,0,209992,0,0,0,0,5552,0,0,0,0,0,0,0,0,0,0,0,46044,0,0,0,0,0,0,109324,0,47622,0,0,0,0,0,0,0,0,0,33192,0,47046,0,0,0,0,0,0,0,0,0,0,0,0,0,53372,50212,0,0,0,0,50244,0,0,0,0,0,0,0,0,0,22488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44248,0,0,0,0,0,0,0,0,0,10876,0,0,0,0,25474,0,0,0,0,0,0,12758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61054,0,0,141494,0,0,0,0,0,25224,5342,572,0,0,0,0,0,38506,0,58792,0,0,0,0,102702,44986,0,0,0,0,0,53076,0,0,0,0,0,0,60569.9999999999,0,0,0,0,92434
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_massiliensis",285606,0,0,0,0,0,284792,75308,0,0,0,0,0,97852,0,0,0,0,0,0,0,17462,0,274250,0,0,0,0,0,0,0,0,291322,0,0,0,0,15442,0,16136,0,0,0,62374,0,0,0,0,0,34110,0,6600,0,82190,0,0,0,0,0,0,0,0,0,0,0,16708,0,0,0,0,0,0,132194,0,0,0,0,0,0,220304,217022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13360,0,0,0,6704,0,0,0,11414,0,0,0,0,0,0,7002,23256,0,0,1346,0,0,0,0,0,0,0,0,0,0,15244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64182,0,0,0,4256,200620,0,0,0,0,0,0,0,0,0,0,0,0,71606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15084,0,8382,0,0,130360,0,0,0,0,106148,0,0,0,0,0,0,0,0,0,0,0,0,0,45488,0,0,0,0,0,0,0,0,12566,0,0,121916,0,0,0,0,28398,0,0,0,0,0,0,0,0,0,0,0,502030,0,0,0,28334,0,30126,0,0,0,0,0,0,0,0,0,0,0,0,588,109526,0,0,5280,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum",27532,0,0,0,32102,10982,250540,0,0,0,0,133416,807318.000000001,17850,630278,872906.000000001,211390,0,0,0,0,0,60060,0,489212,0,0,89424,783063.999999999,0,0,0,355566,0,88084,574182,28804,0,9700,0,293142,0,0,43730,53278,497266,16212,157116,30534,0,492772,34196,296980,58052.0000000001,0,0,80059.9999999999,107656,0,0,30114,110176,51780,0,23342,0,0,123602,81738,0,0,0,127698,82170,0,775630,0,123972,0,891666,496204,0,0,0,0,10880,0,0,345262,0,105280,0,0,874990,0,51220,0,0,0,37292,0,290522,303504,56262,0,7542,73910,0,0,0,0,17930,214584,505258,43352,96202.0000000001,25774,0,0,0,58860,27272,178572,0,0,100116,780214,257538,347538,0,76570,0,0,0,0,14748,0,42302,126378,0,43380,0,0,64064,0,44224,85092,0,0,9004,0,0,85663.9999999999,0,851822.000000001,55164,92031.9999999999,0,0,140024,0,31658,868314,221598,0,0,0,0,0,1686228,0,0,0,0,0,52686,0,330860,95857.9999999999,8718,31100,0,50266,0,69828,0,162704,0,20734,33936,0,0,82638,3740,115372,164646,31092,0,0,170094,50806,21278,0,654,0,0,0,0,23270,231378,43096,50090,153244,0,0,53002,0,272,0,0,153720,0,0,0,30706,20706,0,0,224078,234422,0,8536,0,106274,20424,91741.9999999999,0,7950,59212,0,0,30392,19852,0,128046,132378,0,0,0,519732,0,35790,56420,0,0
